Discription,url,Vendor
Maroon Casual Shirts,https://www.nykaafashion.com/van-heusen-maroon-casual-shirts/p/6287899,NykaaFashion
Black Typographic Print Short Sleeves Shirt,https://www.nykaafashion.com/jack-jones-men-printed-blue-shirt/p/9705215,NykaaFashion
Indigo Saga Cotton Flex Black Solid Full Sleeves Shirt With Doll,https://www.nykaafashion.com/likha-by-nykaa-fashion-indigo-saga-black-solid-full-sleeves-shirt-s/p/9556079,NykaaFashion
White Buttondown Shirt,https://www.nykaafashion.com/shaye-white-buttondown-shirt/p/4211618,NykaaFashion
Men's Solid Button Down Collar Shirt,https://www.nykaafashion.com/the-bear-house-men-s-solid-button-down-collar-shirt/p/4514109,NykaaFashion
Solids Blue Stripes Cotton Women Boyfriend Shirt,https://www.nykaafashion.com/the-souled-store-solids-blue-stripes-cotton-women-boyfriend-shirt/p/8981033,NykaaFashion
Women Solid Blue Shirt,https://www.nykaafashion.com/vero-moda-women-solid-blue-shirt/p/7268941,NykaaFashion
Premium Black and White Slim Fit Tie Dye Rayon Shirt,https://www.nykaafashion.com/javinishka-premium-black-and-white-slim-fit-tie-dye-rayon-shirt-s/p/6212141,NykaaFashion
Teal Shirt Style Top with Ruffle Detailed,https://www.nykaafashion.com/mish-teal-shirt-style-top-with-ruffle-detailed/p/8040919,NykaaFashion
Summer Peach Shirt,https://www.nykaafashion.com/cover-story-summer-peach-shirt/p/7599620,NykaaFashion
Mandarin Collared Linen Shirt - White,https://www.nykaafashion.com/fablestreet-mandarin-collared-linen-shirt-white/p/16668,NykaaFashion
Brown Geometric Printed Crop Shirt,https://www.nykaafashion.com/twenty-dresses-by-nykaa-fashion-brown-geometric-printed-crop-shirt/p/6970588,NykaaFashion
Cotton Polo - Pack of 2 Anti-Stain & Anti-Odour - Ocean Grey/Forest Green,https://www.nykaafashion.com/gloot-anti-stain-anti-odor-cotton-polo-with-no-curl-collar-pack-of-2/p/7536498,NykaaFashion
Cotton Tee - Pack of 3 Anti-Stain & Anti-Odour - White/Black/Burgundy,https://www.nykaafashion.com/gloot-anti-stain-anti-odor-cotton-round-neck-tee-pack-of-3/p/7565178,NykaaFashion
Mens Active Lite Anti-Odour T-Shirt Black,https://www.nykaafashion.com/gloot-mens-active-lite-anti-odour-t-shirt-black/p/8463193,NykaaFashion
Black Inner Peace Half Sleeve Printed T-Shirt,https://www.nykaafashion.com/bewakoof-black-inner-peace-half-sleeve-printed-t-shirt/p/9107253,NykaaFashion
Stretchable V Neck LivIn Camisole - Black,https://www.nykaafashion.com/fablestreet-stretchable-v-neck-livin-camisole-black/p/2026907,NykaaFashion
Men Solid Stylish Casual Polo T-shirts,https://www.nykaafashion.com/campus-sutra-men-solid-stylish-casual-polo-t-shirts/p/5677916,NykaaFashion
Disney Fearless Women Oversized T-Shirt,https://www.nykaafashion.com/the-souled-store-disney-fearless-women-oversized-t-shirt/p/9284320,NykaaFashion
Cream Graphic Oversized T-Shirt,https://www.nykaafashion.com/dillinger-cream-graphic-oversized-t-shirt/p/4214984,NykaaFashion
Womens Graphic Drop Shoulder V-Neck Loos T-Shirt,https://www.nykaafashion.com/juneberry-womens-graphic-drop-shoulder-v-neck-loos-t-shirt/p/8633298,NykaaFashion
Men Dark Green Solid Mandarin Collar Cotton T-Shirt,https://www.nykaafashion.com/urbano-fashion-men-dark-green-solid-mandarin-collar-cotton-t-shirt/p/3130051,NykaaFashion
Men Olive Green Black Slim Fit Camouflage Printed Round Neck T-shirt,https://www.nykaafashion.com/the-bear-house-men-olive-green-black-slim-fit-camouflage-printed-round-neck-t-shirt/p/3876006,NykaaFashion
Blue All-over Printed Designer Polo T-shirt,https://www.nykaafashion.com/bullmer-blue-all-over-printed-designer-polo-t-shirt/p/3978577,NykaaFashion
Men Solid Stylish Casual Denim Jeans,https://www.nykaafashion.com/campus-sutra-men-solid-stylish-casual-denim-jeans/p/6532003,NykaaFashion
Black Skinny Fit High Rise Denim Jeans,https://www.nykaafashion.com/dolce-crudo-black-skinny-fit-high-rise-denim-jeans-1/p/719610,NykaaFashion
White High Waisted Wide Leg Denim,https://www.nykaafashion.com/kazo-white-high-waisted-wide-leg-denim/p/8372062,NykaaFashion
Womens Baggy Fit Jeans,https://www.nykaafashion.com/levi-s-womens-baggy-fit-jeans/p/9919213,NykaaFashion
Off Duty Black Wide Leg High Rise Jeans,https://www.nykaafashion.com/offduty-india-black-wide-leg-high-rise-jeans/p/3956865,NykaaFashion
Blue High Waist Wide Leg Jeans With Pocket And Belt Loops,https://www.nykaafashion.com/styli-blue-high-waist-wide-leg-jeans-with-pocket-and-belt-loops/p/7478041,NykaaFashion
Blue Jeans,https://www.nykaafashion.com/louis-philippe-blue-jeans/p/8573099,NykaaFashion
Mens Solid Black Jeans,https://www.nykaafashion.com/louis-philippe-jeans-mens-solid-black-jeans/p/8059929,NykaaFashion
Men Slim Fit Jeans,https://www.nykaafashion.com/urbano-fashion-men-slim-fit-jeans-22/p/2175555,NykaaFashion
Blue Solid Jeans,https://www.nykaafashion.com/forever-21-blue-solid-jeans/p/8512357,NykaaFashion
Women Blue Comfort Mom Fit High-Rise Clean Look Non Stretchable Cotton Jeans,https://www.nykaafashion.com/xpose-women-blue-comfort-mom-fit-high-rise-clean-look-non-stretchable-cotton-jeans/p/6455851,NykaaFashion
Women Solid Blue Jeans,https://www.nykaafashion.com/vero-moda-women-solid-blue-jean/p/7846684,NykaaFashion
White Solid Sweetheart Neck Fit And Flare Dress,https://www.nykaafashion.com/twenty-dresses-by-nykaa-fashion-white-solid-sweetheart-neck-fit-and-flare-dress/p/10758086,NykaaFashion
Amelia White Floral Printed Empire Mini Dress,https://www.nykaafashion.com/forever-new-amelia-white-floral-printed-empire-mini-dress/p/10327661,NykaaFashion
Floral Ruffle Halter Mini Dress,https://www.nykaafashion.com/cider-floral-ruffle-halter-mini-dress/p/8033630,NykaaFashion
Solid Black Mini Dress,https://www.nykaafashion.com/forever-21-solid-black-mini-dress/p/9377382,NykaaFashion
Blue High Neckline Ruched Mini Dress,https://www.nykaafashion.com/twenty-dresses-by-nykaa-fashion-blue-high-neckline-ruched-mini-dress/p/10689210,NykaaFashion
Women Solid Green Dress,https://www.nykaafashion.com/vero-moda-women-solid-green-dress/p/10624006,NykaaFashion
Cotton Puff Sleeves Tiered Dress White,https://www.nykaafashion.com/fablestreet-cotton-puff-sleeves-tiered-dress-white/p/10093094,NykaaFashion
Sage Green Solid Ribbed One Shoulder Bodycon Dress,https://www.nykaafashion.com/mixt-by-nykaa-fashion-sage-green-solid-ribbed-one-shoulder-bodycon-dress/p/10795853,NykaaFashion
Printed Wrap Tie Knot Dress,https://www.nykaafashion.com/kazo-printed-wrap-tie-knot-dress/p/9731905,NykaaFashion
Fairy Fit Wired Mini Dress-multi Floral Print,https://www.nykaafashion.com/na-kd-fairy-fit-wired-mini-dress-multi-floral-print/p/8460015,NykaaFashion
Light Blue Bardot Midi Dress,https://www.nykaafashion.com/quiz-clothing-light-blue-bardot-midi-dress/p/10737426,NykaaFashion
Multi-color Sequins V-neck Mini Dress,https://www.nykaafashion.com/rsvp-by-nykaa-fashion-multi-color-sequins-v-neck-mini-dress/p/10225920,NykaaFashion
Off White Overlapped In Love Top,https://www.nykaafashion.com/twenty-dresses-by-nykaa-fashion-off-white-overlapped-in-love-top/p/2057672,NykaaFashion
Pink Dakota Cold Shoulder Rib Top,https://www.nykaafashion.com/forever-new-pink-dakota-cold-shoulder-rib-top/p/7010370,NykaaFashion
V-shape Printed Short Sleeve Top-Purple Flower,https://www.nykaafashion.com/na-kd-v-shape-printed-short-sleeve-top-purple-flower/p/6054917,NykaaFashion
Solid Black Top,https://www.nykaafashion.com/forever-21-solid-black-top/p/9894526,NykaaFashion
Blue Your Heart Crop Top,https://www.nykaafashion.com/twenty-dresses-by-nykaa-fashion-blue-your-heart-crop-top/p/1829221,NykaaFashion
Women Polka Dots Brown Top,https://www.nykaafashion.com/vero-moda-women-polka-dots-brown-top/p/10623981,NykaaFashion
Multi Color Big Floral Print Top,https://www.nykaafashion.com/fablestreet-multi-color-big-floral-print-top/p/3932416,NykaaFashion
Multi-color High Neck Heart Print Top,https://www.nykaafashion.com/mixt-by-nykaa-fashion-multi-color-high-neck-heart-print-top/p/9007198,NykaaFashion
Women Self Design Regular Fit Top,https://www.nykaafashion.com/only-women-self-design-regular-fit-top/p/4808484,NykaaFashion
Lilac Crop Top,https://www.nykaafashion.com/i-saw-it-first-lilac-crop-top/p/6313627,NykaaFashion
Blue Printed A-Line Top,https://www.nykaafashion.com/qomn-blue-printed-a-line-top/p/7627499,NykaaFashion
Peacock Cinched Shirt Jacket,https://www.nykaafashion.com/shaye-peacock-cinched-shirt-jacket/p/4211581,NykaaFashion
